Script Name,Character Names
A Few Good Men.txt,"LUTHER, GINNY, SAM, JO, GIBBS, KENDRICK, RANDOLPH, AGENT #1, SPRADLING, HAMMAKER, DAWSON, STONE, SANTIAGO, JESSEP, A WOMAN, LAWRENCE, WHITAKER, KAFFEE, HOWARD, MARKINSON, PEREZ, WEST, DOWNEY, STEWARD, SHERBY, ROSS, JURY FOREMAN, MCGUIRE"
A Good Person.txt,
A Million Miles Away.txt,"JULIA, JOSE, OLIVAS, JULIO, KALPANA, GIRL, LOGAN, FEMALE ASCAN, MOM, SALESMAN, BETO, REPORTER # 2, LAUNCH CONTROL, ASCAN 1, NEWSCASTER, WEISSBERG, LOGAN, SALVADOR, DIVER, JULIO, SALVADOR, SALVADOR, KARINA, MARISA, TECHNICIAN, ADELA, MISS YOUNG, SCIENTIST 2, GIL, ANCHOR, FLIGHT DIRECTOR, BETO, JOSE, ZAMKA, KALPANA CHAWLA, STURCKOW, CHANG, ELLEN OCHOA, JOHN OLIVAS, SIDNEY GUTIERREZ, GEORGE, ADELA, JULIA, DIVER, MOM, JULIA, JULIO, CABANA, SALVADOR, JOSE, MARISA, ADELA, STURCKOW, MOM, GROUND CONTROL, LOGAN, JOSE, REPORTER # 3, REPORTER # 4, FOREMAN, ADELA, PAPA, DAD, ADELA, LETY, JOSE, SALVADOR, STACEY, JULIA, RUSSIAN ENGINEER, PAPA, DAD, CHAVA, STACEY, WEISSBERG, LOGAN, ASCAN 2, KALPANA, CLASS, JOSE, ADELA, SCIENTIST 1, JOSE, SALVADOR, MISS YOUNG, JOSE, JULIO, CABANA, CUSTOMER, SALVADOR"
A Most Violent Year.txt,"LUISA, MRS. ROSE, ELIAS, BILL O'LEARY, NANNY MARIA, LOUIS SERVIDIO, BANK VP IAN THOMPSON, A.D.A. LAWRENCE, BEAT COP, SALES STUDENT ALEX, BARBER JIMMY, RADIO DISPATCHER V.O., ELIAS, POLICE OFFICER, WAITER, SENIOR DRIVER EDDY V.O., COUNTER PERSON, ABEL, ARTHUR LEWIS, ANDREW WALSH, ANNA, HUSBAND, MARIA., LORAINE LEFKOWITZ, JULIAN, LORRAINE LEFKOWITZ, ANNIE, DEPUTY LANGE, JULIAN, LUISA., BEAT COP, LUISA, LAWRENCE., PETER FORENTE, ABEL, INSTRUCTOR, LEFKOWITZ RECEPTIONIST, SAUL LEFKOWITZ, BILL O'LEARY, JOSEPH, SENIOR DRIVER EDDY, PETER FORENTE, LOUIS SERVIDIO, ARNOLD KLINE, A.D.A. LAWRENCE, JOSEPH, THUG #2, CATHERINE, LORAINE LEFKOWITZ, COP 1, CONTRACTOR, LORRAINE LEFKOWITZ, ELIZABETH, RESPONDING DRIVER V.O., ANDREW WALSH"
A Prayer Before Dawn.txt,"BILLY, OFFICER PI SIT, KENG, NAN, JOM, GUARD #1, ELYIAS, PON, GUARD, GERMAN INMATE, NINDAM, FIRST OFFICER, LEK, TRUSTEE'S VOICE, MAY, CHAR, TIGER, MR. MOORE, NOI, KIAW, DIESEL, TRUSTEE #6, THAI #1, THAI #2, THAI #3, DOCTOR, TRUSTEE #3, YOUNG PHARMACIST, THAI BOXER, ECKACHAI, TIFFANY, DR. ADI, NIGERIAN, BULL GUARD"
A Quiet Place.txt,"MOTHER (SIGNING), EVELYN (SIGNING), MARCUS (SIGNING), MARCUS (SIGNING) (CONT'D), BOY (SIGNING AS BEST WE CAN), REGAN... TURNS OFF THE HEARING AID..., MARCUS... BEGINS TO SINK!!!, EVELYN SHOOTS AWAKE!!! SHE SCRAMBLES TO SIT UP THROUGH THE, LEE... UP THE WALL OF THE SILO..., REGAN (SIGNING), LEE (O.S.), EVELYN, OLDER SON (SIGNING), LEE (SIGNING), EVELYN ENVELOPES HER CHILDREN WITH EVERYTHING SHE HAS!!!... A, LEE......., EVELYN (SIGNING) (CONT'D), DAUGHTER (SIGNING), LEE..., MARCUS, EVELYN STEPS INTO FRAME........... SHOTGUN RAISED..., LEE, MARCUS (O.S.), LEE KEEPS RUNNING!, MARCUS (WHISPER), LEE (CONT'D)"
A Real Pain.txt,"MARK, ELOGE, ALL, JAMES (VO), CONDUCTOR, RECEPTIONIST, DAVID (CONT'D), BENJI (CONT'D), DAVI D, BENJI, BEN JI, BE NJI, BENJ I, DIANE, MARCIA, DAVID (ON VIDEO), DAVID, SON, ELOG, SMOKER, JAMES (CONT'D), JA MES (VO), JAMES, ABE (ON VIDEO), ABE(ON VIDEO)"
A Scanner Darkly.txt,"COP, HANK, CONNIE, FARM MANAGER, FAT BUSINESSMAN, DONNA HAWTHORNE, HEAD #1, MIKE, OLD MAN, WAITRESS, CONNIE, MEDICAL TECHNICIAN #1, SCRAMBLE SUIT #1, BOB ARCTOR, WIFE, EXECUTIVE DIRECTOR, TELEPHONE VOICE #3, SCRAMBLE SUIT #2, MEDICAL TECHNICIAN #3, MEDICAL TECHNICIAN #4, JIM BARRIS, GEORGE (O.C.), TAPE RECORDER VOICE (FEMALE), NEW-PATH #1, MEDICAL TECHNICIAN   #2, VOICE FROM CROWD, DONNA   HAWTHORNE, CHINESE GIRL RESIDENT, GEORGE, NEW-PATH RESIDENT #1, JIM BARRIS (O.S.), ERNIE LUCKMAN, FRED, MEDICAL TECHNICIAN #1, BOB ARCTOR (IN SCRAMBLE SUIT), OPERATOR, CHARLES FRECK, HANK, CHINESE GIRL RESIDENT, WIFE (O.S.), KIMBERLY, LITTLE GIRL, LITTLE GIRLS, JIM BARRIS (CONT'D), ERNIE LUCKMAN (O.S.), LUCKMAN AND BARRIS (CONT'D), KIMBERLY, BOB ARCTOR, ARCTOR, WAITRESS, MOTORIST, OLD LADY (V.O.), FRED (V.O.), CHARLES FRECK (O.S.), MEDICAL TECHNICIAN #2, OLD WOMAN, TAPE RECORDER VOICE (MALE), OLD LADY, DONNA HAWTHORNE, NEW-PATH RESIDENT #2, LUCKMAN AND BARRIS, DAN (O.S.), CHARLES FRECK, DAN, GEORGE, HEADPHONE VOICE, FAT BUSINESSMAN (CONT'D), DONNA HAWTHORNE (O.S.), COP (CONT'D), ERNIE LUCKMAN, EXECUTIVE DIRECTOR (CONT'D), DAUGHTERS, JERRY FABIN, NEW-PATH GUY #1, LITTLE GIRL, BOB ARCTOR (V.O.) (CONT'D), NEW-PATH RESIDENT #3, JIM BARRIS (O.S.), CHARLES FRECK, NEW-PATH GUY #2, TELEPHONE VOICE, BOB ARCTOR (V.O.), FAR-AWAY VOICE, NEW-PATH GIRL, MIKE, FRED (CONT'D), NEW-PATH RESIDENTS, OLD MAN (V.O.), NURSERY CLERK, NEW-PATH STAFFER, BOB ARCTOR   (V.O.), CREATURE, FARM MANAGER (CONT'D), NEW-PATH RESIDENT #4"
A Serious Man.txt,"SUSSMAN, ARTHUR, SECRETARY, LARRY, SARAH, COP, CLIVE, SY, REB GROSHKOVER, DON MILGRAM, MITCH, MEL, THE RABBI, DANNY, PRINCIPAL, RABBI MINDA, D'VORAH, JUDITH, MIMI, GAR, MAN, ASIAN MAN, NACHTNER, DON, MINDA, WOMAN, CLIVE, JUDY, RABBI NACHTNER, SIEGLESTEIN, SCHLUTZ"
Above the Law.txt,"LIEUTENANT STROZAH, FATHER GENARRO, AGENT NEELEY (CONT'D), LIEUTENANT STROZAH, NICO, MRS. ZINGARO, UNCLE GUISEPPE, FEMALE (V.O.), LUIGI, FREDERICO LARUSSO, LUKICH, NICO, SARA, FIRST LATINO, JACKSON, ANOTHER WALKIE-TALKIE (V.O.), POLICE RADIO (V.O.), REFUGEE WOMAN, ZAGON, MAID, AGENT NEELEY, SARA, EVENING GOWN WOMAN, NICO, FOX (V.O.), NICO, BAD DUDE, AGENT NEELEY, SISTER BONIFACIA, MAN (V.O.), BAD DUDE, NICO, ROSA, BARMAID, LUKICH, ZAGON, SARA, NEWSWOMAN (V.O.), SENATOR HARRISON, SENATOR HARRISON (V.O.), NICO, O'HARA, PIMP, NICO AND BRANCA, ZAGON - AGAINST WALL, NICO, MACHETE MAN, FATHER TOMASSINO, NICO, FIRST GIRL, NICO, NARDO, NICO (O.S.), SALVANO (O.S.), ZAGON AND SALVANO, AGENT NEELEY, HENDERSON, COP (O.S.), NICO, CLERK, WATANABE (O.S.), ZAGON, CARLA, AGENT HALLORAN, SENATOR ERNEST HARRISON., PIPE MAN, NICO, SALVANO, JACKSON, MACHETE MAN (FIRST LATINO), FOX, ZAGON, WATANABE, NICO, SARA (O.S.), VOICE (O.S.), JUDGE ALSPAUGH, FATHER TOMASSINO, AGENT NEELEY, FIRST PRISONER, SECOND PRISONER, FOX, CROWDER, AGENT NEELEY, JACKSON (O.S.), SARA, T.V. REPORTER (O.S.), ZAGON (O.S.), CROWDER, AGENT NEELEY, FIRST ARMY JACKET, WALKIE-TALKIE (V.O.), JACKSON, NICO (V.O.), CHI CHI, BRANCA, VOICE THROUGH DOOR (O.S.), NICO AND LUKICH, ZAGON, JACKSON (CONT'D), STROZAH, LARUSSO, LUCY, MAN (O.S.), AGENT NEELEY, ZAGON, HOSTESS, NICO (CONT'D), SALVANO, CHI CHI"
